"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Ontario i7",,
7,"For more information on visible minority and population group variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2021."
8,"For information on data quality for this variable, refer to the Education Reference Guide, Census of Population, 2021, Catalogue no. 98-500-X2021013."
9,"Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2020 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
11,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
12,"The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative)."
13,"Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes are calculated for those with income (positive or negative)."
10,"Occupation (based on the National Occupational Classification [NOC] 2021 Version 1.0)  Occupation refers to the kind of work performed in a job, a job being all the tasks carried out by a particular worker to complete his or her duties. An occupation is a set of jobs that are sufficiently similar in work performed.  Kind of work is described in terms of tasks, duties and responsibilities, often including factors such as materials processed or used, the industrial processes used, the equipment used, and the products or services provided. Occupations are generally homogeneous with respect to skill type and skill level.  Occupation applies to the contribution of labour to that part of economic activity that is within the production boundary defined for the System of National Accounts."
14,"Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the National Occupational Classification [NOC] 2021 version 1.0.  Occupation codes are based on write-in descriptions of the respondents’ job title and main duties/responsibilities. Incomplete or vague write-in responses can reduce the accuracy of the codes assigned, particularly for the most detailed levels of the occupation classification. For example, when ‘sales’ is provided as a description of main duties or responsibilities, any one of the codes corresponding to sales associate, sales supervisor or sales manager could be assigned.  The potential for inaccuracy in occupation codes is elevated for smaller domains, when increased sampling variability also impacts the accuracy of estimates. In such situations, users are advised to consider using broader occupation categories."
15,"Census 2021 National Occupational Classification (NOC) code exception: The code and title of this category are not found in the NOC 2021; this category includes codes 00011-00015."



"How to cite: Statistics Canada. Table 98-10-0586-01  Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810058601
